Swedish,English,Spanish
ja,yes,sí
nej,no,no
hej,hello,hola
hejdå,goodbye,adiós
snälla,please,por favor
tack,thank you,gracias
ursäkta,excuse me,perdón
förlåt,sorry,lo siento
jag,I,yo
du,you,tú
han,he,él
hon,she,ella
vi,we,nosotros
de,they,ellos
den,it,eso
vad,what,qué
var,where,dónde
när,when,cuándo
hur,how,cómo
vilken,which,cuál
varför,why,por qué
vem,who,quién
en,a,un
ett,a,uno
två,two,dos
tre,three,tres
fyra,four,cuatro
fem,five,cinco
sex,six,seis
sju,seven,siete
åtta,eight,ocho
nio,nine,nueve
tio,ten,diez
många,many,muchos
några,some,algunos
mycket,much,mucho
lite,little,poco
ingen,none,ninguno
alla,all,todo
fler,more,más
färre,fewer,menos
bra,good,bueno
dålig,bad,malo
gammal,old,viejo
ung,young,joven
stor,big,grande
liten,small,pequeño
här,here,aquí
där,there,allí
nu,now,ahora
sedan,then,luego
idag,today,hoy
imorgon,tomorrow,mañana
igår,yesterday,ayer
ja,yes,sí
nej,no,no
tack,thank you,gracias
snälla,please,por favor
ursäkta,excuse me,perdón
förlåt,sorry,lo siento
jag är,I am,yo soy
du är,you are,tú eres
han är,he is,él es
hon är,she is,ella es
vi är,we are,nosotros somos
de är,they are,ellos son
jag har,I have,yo tengo
du har,you have,tú tienes
han har,he has,él tiene
hon har,she has,ella tiene
vi har,we have,nosotros tenemos
de har,they have,ellos tienen
äta,eat,comer
dricka,drink,beber
gå,go,ir
komma,come,venir
göra,do,hacer
säga,say,decir
se,see,ver
höra,hear,oír
tala,speak,hablar
skriva,write,escribir
läsa,read,leer
veta,know,saber
förstå,understand,entender
känna,feel,sentir
tycka,think,creer
vilja,want,querer
behöva,need,necesitar
älska,love,amar
hata,hate,odiar
hem,home,casa
skola,school,escuela
arbete,work,trabajo
affär,store,tienda
vän,friend,amigo
familj,family,familia
hus,house,casa
bil,car,coche
stad,city,ciudad
land,country,país
